来源,代码,名称,T-1溢价率,申购状态
欧美市场,159529,标普消费ETF,29.87,开放申购
欧美市场,159612,标普500ETF,20.31,暂停申购
欧美市场,513030,德国ETF,5.15,暂停申购
欧美市场,159509,纳指科技ETF,3.89,开放申购
欧美市场,513730,东南亚科技ETF,,开放申购
欧美市场,159941,纳指ETF,2.41,开放申购
欧美市场,159822,新经济ETF,,开放申购
欧美市场,513050,中概互联网ETF,1.95,开放申购
欧美市场,513100,纳指ETF,1.94,暂停申购
欧美市场,513220,中概互联ETF,1.66,开放申购
欧美市场,520580,新兴亚洲ETF,,开放申购
欧美市场,162415,美国消费LOF,1.48,限100
欧美市场,159605,中概互联ETF,1.46,开放申购
欧美市场,159607,中概互联网ETF,1.46,开放申购
欧美市场,513300,纳斯达克ETF,1.4,开放申购
欧美市场,513290,纳指生物科技ETF,1.28,暂停申购
欧美市场,159561,德国ETF,1.2,开放申购
欧美市场,159632,纳斯达克ETF,1.11,暂停申购
欧美市场,159660,纳指100ETF,0.97,暂停申购
欧美市场,159513,纳斯达克100指数ETF,0.89,开放申购
欧美市场,513080,法国CAC40ETF,0.65,暂停申购
欧美市场,160644,港美互联网LOF,0.62,限10万
欧美市场,159502,标普生物科技ETF,0.45,开放申购
欧美市场,161127,标普生物科技LOF,0.42,限100
欧美市场,513500,标普500ETF,0.37,开放申购
欧美市场,501300,美元债LOF,0.4,限5万
欧美市场,513870,纳指ETF富国,0.39,开放申购
欧美市场,159501,纳斯达克指数ETF,0.36,开放申购
欧美市场,159577,美国50ETF,0.36,暂停申购
欧美市场,164906,中概互联网LOF,0.36,开放申购
欧美市场,159659,纳斯达克100ETF,0.35,开放申购
欧美市场,513110,纳斯达克100ETF,0.35,开放申购
欧美市场,513390,纳指100ETF,0.28,开放申购
欧美市场,513850,美国50ETF,0.28,开放申购
欧美市场,513400,道琼斯ETF,0.27,开放申购
欧美市场,159696,纳指ETF易方达,0.25,开放申购
欧美市场,513650,标普500ETF基金,0.24,开放申购
欧美市场,159655,标普ETF,0.17,开放申购
欧美市场,513360,教育ETF,0.08,开放申购
欧美市场,160140,美国REIT精选LOF,-0.29,限300
欧美市场,161126,标普医疗保健LOF,-0.34,限100
